Название аптеки,Адрес,Телефон,Цена
Брестское РУП Фармация Аптека N159,"Ганцевичи, ул. Октябрьская, 3",(01646) 63985,42.42 р.
Брестское РУП Фармация Аптека N160,"Ивацевичи, ул. 60 лет Октября, 11А",(01645) 37186,42.42 р.
Брестское РУП Фармация Аптека N163,"Иваново, ул. Комарова, 4, в здании поликлиники",(01652) 92157,42.42 р.
Брестское РУП Фармация Аптека N164,"Брест, ул. Суворова, 104",(0162) 524023,42.42 р.
Брестское РУП Фармация Аптека N165,"Брест, ул. Орловская, 24, в здании Белпочты",(0162) 250658,42.42 р.
Брестское РУП Фармация Аптека N167,"Пинск, ул. Первомайская, 191, в здании поликлиники",(0165) 633532,42.42 р.
Брестское РУП Фармация Аптека N169,"Ивацевичи, ул. Толочко, 10, в здании больницы",(01645) 31056,42.42 р.
Брестское РУП Фармация Аптека N171,"Барановичи, ул. Максима Горького, 56, в здании поликлиники N3",(0163) 632348,42.42 р.
Брестское РУП Фармация Аптека N172,"Брест, ул. Писателя Смирнова, 65-179",(0162) 430559,42.42 р.
Брестское РУП Фармация Аптека N173,"Брест, ул. Гаврилова, 37-102",(0162) 509737,42.42 р.
Брестское РУП Фармация Аптека N183,"Барановичи, ул. Фабричная, 6, в здании поликлиники N2",(0163) 680945,42.42 р.
Брестское РУП Фармация Аптека N185,"Барановичи, б-р Карвата, 6А, в здании детской поликлиники",(0163) 673213,42.42 р.
Брестское РУП Фармация Аптека N189,"Брест, ул. Лактионова, 11, в здании центральной гор. больницы",(0162) 585715,42.42 р.
Брестское РУП Фармация Аптека N194,"Иваново, ул. Ленина, 109, маг. Доброном",(01652) 20164,42.42 р.
Брестское РУП Фармация Аптека N195,"Береза, ул. Тышкевича, 13А, маг. Санта",(01643) 45669,42.42 р.
Брестское РУП Фармация Аптека N20,"Кобрин, аг. Дивин, ул. Ленина, 87",(01642) 72492,42.42 р.
Брестское РУП Фармация Аптека N203,"Лунинец, ул. Красная, 100, в здании поликлиники",(01647) 61044,42.42 р.
Брестское РУП Фармация Аптека N206,"Столин, ул. Садовая, 44, маг. Санта",(01655) 60389,42.42 р.
Брестское РУП Фармация Аптека N207,"Столин, ул. Дзержинского, 102, в здании больницы",(01655) 28304,42.42 р.
Брестское РУП Фармация Аптека N214,"Пинск, пр-т Жолтовского, 13, маг. Санта",(0165) 621590,42.42 р.
Брестское РУП Фармация Аптека N216,"Барановичи, ул. Бадака, 70-1, маг. Евроопт",(0163) 416137,42.42 р.
Брестское РУП Фармация Аптека N219,"Пинск, ул. Иркутско-Пинской Дивизии, 48, в здании поликлиники",(0165) 657940,42.42 р.
Брестское РУП Фармация Аптека N228,"Дрогичин, ул. Ленина, 145",(01644) 20910,42.42 р.
Брестское РУП Фармация Аптека N229,"Ивацевичи, ул. Парковая, 2, маг. Евроопт",(01645) 37152,42.42 р.
Брестское РУП Фармация Аптека N230,"Барановичи, ул. Промышленная, 32А, маг. Евроопт",(0163) 672174,42.42 р.
Брестское РУП Фармация Аптека N235,"Иваново, ул. Красных Партизан, 3, в здании автостанции",(01652) 21364,42.42 р.
Брестское РУП Фармация Аптека N236,"Иваново, ул. Советская, 73, в здании детской поликлиники",(01652) 21209,42.42 р.
Брестское РУП Фармация Аптека N237,"Пинск, пр-т Жолтовского, 51",(0165) 640335,42.42 р.
Брестское РУП Фармация Аптека N238,"Брест, ул. Богданчука, 126, пом. 69",(0162) 355107,42.42 р.
Брестское РУП Фармация Аптека N241,"Брест, ул. Героев обороны Брестской крепости, 42",(0162) 513464,42.42 р.
Брестское РУП Фармация Аптека N244,"Ивацевичи, ул. Ленина, 43-4",(01645) 64040,42.42 р.
Брестское РУП Фармация Аптека N246,"Брест, ул. Бориса Маслова, 4, в здании поликлиники N5",(0162) 520167,42.42 р.
Брестское РУП Фармация Аптека N249,"Пинск, ул. Железнодорожная, 19, в здании ЖД вокзала",(0165) 650025,42.42 р.
Брестское РУП Фармация Аптека N250,"Барановичи, ул. Советская, 60-89",(0163) 669574,42.42 р.
Брестское РУП Фармация Аптека N251,"Барановичи, ул. Слонимское шоссе, 8, в здании больницы N2",(0163) 636747,42.42 р.
Брестское РУП Фармация Аптека N255,"Пинск, ул. Брестская, 108, в здании поликлиники",(0165) 655108,42.42 р.
Брестское РУП Фармация Аптека N267,"Пинск, ул. Рокоссовского, 8, в здании психоневрологического диспансера",(0162) 617517,42.42 р.
Брестское РУП Фармация Аптека N269,"Пинск, ул. Ильина, 4, маг. Август",(0165) 300109,42.42 р.
Брестское РУП Фармация Аптека N273,"Брест, пр-т Машерова, 39-163, маг. Санта",(0162) 532050,42.42 р.
Брестское РУП Фармация Аптека N274,"Кобрин, ул. Дружбы, 20, маг. Санта",(01642) 43822,42.42 р.
Брестское РУП Фармация Аптека N276,"Ивацевичи, ул. Депутатская, 47, маг. Санта",(01645) 99818,42.42 р.
Брестское РУП Фармация Аптека N28,"Ивацевичи, ул. Механизаторов, 3/3-1",(01645) 90668,42.42 р.
Брестское РУП Фармация Аптека N280,"Ивацевичи, пер. Почтовый, 7А",(01645) 96724,42.42 р.
Брестское РУП Фармация Аптека N281,"Лунинец, ул. Бохоново, 11В-1, маг. Санта",(01647) 45395,42.42 р.
Брестское РУП Фармация Аптека N282,"Береза, ул. Ленина, 132, маг. Санта",(01643) 36594,42.42 р.
Брестское РУП Фармация Аптека N284,"Брест, ул. Московская, 380А, маг. Санта",(0162) 251321,42.42 р.
Брестское РУП Фармация Аптека N285,"Барановичи, ул. Заслонова, 10, маг. Санта",(0163) 651121,42.42 р.
Брестское РУП Фармация Аптека N3,"Брест, ул. Советская, 101-13, 103-4",(0162) 543979,42.42 р.
Брестское РУП Фармация Аптека N45,"Брест, ул. Октябрьской революции, 11",(0162) 524886,42.42 р.
Брестское РУП Фармация Аптека N47,"Пинск, ул. Кирова, 2-61",(0165) 623323,42.42 р.
Брестское РУП Фармация Аптека N49,"Пружаны, ул. Советская, 8",(01632) 41196,42.42 р.
Брестское РУП Фармация Аптека N5,"Брест, ул. Советская, 30-19",(0162) 514135,42.42 р.
Брестское РУП Фармация Аптека N57,"Брест, ул. Мицкевича, 27-1",(0162) 510242,42.42 р.
Брестское РУП Фармация Аптека N58,"Барановичи, ул. Фроленкова, 40, в здании автовокзала",(0163) 660768,42.42 р.
Брестское РУП Фармация Аптека N64,"Пинск, ул. Ленина, 17",(0165) 652138,42.42 р.
Брестское РУП Фармация Аптека N65,"Пинск, пл. Ленина, 4-100",(0165) 624949,42.42 р.
Брестское РУП Фармация Аптека N67,"Дрогичин, аг. Бездеж, ул. Зеленая, 1, в здании амбулатории",(01644) 21464,42.42 р.
Брестское РУП Фармация Аптека N75,"Иваново, аг. Мотоль, ул. Ленина, 28",(01652) 58448,42.42 р.
Брестское РУП Фармация Аптека N84,"Иваново, ул. Советская, 2Г, маг. Санта",(01652) 92540,42.42 р.
