Название аптеки,Адрес,Телефон,Время работы,Цена
Витебское УП Фармация Аптека N111,"Миоры, ул. Дзержинского, 15",(02152) 51855,"08.00-20.00, пн.–пт.; 08.00-18.00, сб.; 08.00-18.00, вс.; Праздничные дни: 8.00 - 18.00;",
Медтехпром ООО Аптека N2,"Минск-Партизанский, ул. Грицевца, 1",(017) 3859472,"09.00-21.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.; Санитарные часы: последнее воскресенье месяца с 9.00 до 11.00",
Добрыя Леки Аптека N6 ЗАО Аптека групп Север,"Витебск, пр-т Московский, 45/2",моб. 5355757,"08.00-20.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.",
Радикс Аптека N20 ООО Диалпро,"Минск-Партизанский, ул. Антоновская, 30-2Н",(017) 2340900,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
АльфаАптека Аптека N12 ОДО Салюслайн,"Гродно, пр-т Клецкова, 21Б, пом. 1 ТЦ Розовый фламинго",(0152) 331492,"09.00-21.00, пн.–пт.; 10.00-19.00, сб.; 10.00-17.00, вс.; Санитарные часы: первая среда месяца с 9.00 до 11.00;",
Медпростор Салон медтехники и ортопедии N19,"Жодино, ул. 50 лет Октября, 8, пом. 76",(029) 1607500,"08.00-20.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.",
Минская Фармация Аптека N3,"Клецк, аг. Синявка, ул. Шоссейная, 4",(01793) 45668,"09.00-18.00, пн.–пт.; выходной, сб.; выходной, вс.",
ИЛПО ООО Аптека N1,"Орша, пр-т Текстильщиков, 15, к. 2",(0216) 522522,"09.00-21.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.",
Витебское УП Фармация Аптека N334,"Орша, ул. Энгельса, 6, Центральный рынок",(0216) 535147,"09.00-17.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Праздничные дни: 09:00-17:00;",
Медтехника УП Магазин Оптика г. Лельчицы,"Лельчицы, ул. Советская, 58А",(02356) 42295,"10.00-19.00, пн.–пт.; выходной, сб.; выходной, вс.; обед: 14:00-15:00",
Минская Фармация Аптека N137,"Борисов, ул. Строителей, 36А",(0177) 744666,"08.00-21.00, пн.–пт.; 09.00-17.30, сб.; 09.00-17.30, вс.; Праздничные дни: 9:00-17:30;",
Добрыя леки Аптека N9 ООО Аптека групп Центр,"Минск-Фрунзенский, м. Молодежная, вход от БЦ СильверТауэр",моб. 5355757,"07.00-20.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.",
АльфаАптека Аптека N8 ГаленаФарм ООО,"Пинск, ул. Брестская, 146",(0165) 642860,"09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.; Санитарные часы: последняя пятница месяца с 9.00 до 11.00;",
АльфаАптека Аптека N25 ОДО Салюслайн,"Гродно, ул. Брикеля, 7А-144",(0152) 568690,"09.00-21.00, пн.–пт.; 10.00-18.00, сб.; 10.00-17.00, вс.; Санитарные часы: первая понедельник месяца с 9.00 до 11.00;",
Медицинский магазин N11 Польза,"Орша, ул. Мира, 31",(029) 3025321,"09.00-20.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.",
Медпростор Салон медтехники и ортопедии N15,"Рогачев, ул. Октябрьская, 18",(02339) 27219,"08.00-20.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.",
Гомельское УП Фармация Аптека N133/2,"Гомель, ул. Пенязькова, 41-192",(0232) 286850,"08.30-21.00, пн.–пт.; 08.30-21.00, сб.; 08.30-21.00, вс.; Перерыв: 13:00-13:30;",
Зялёная крама Торговый объект N700 ООО Ирина-Фарм,"Светлогорск, ул. Калинина, 14, центральная районная пол-ка",7822 - А1+mts,"07.30-18.30, пн.–пт.; выходной, сб.; выходной, вс.",
Добрыя Леки Аптека N5 ЗАО Аптека групп Юг,"Могилев, ул. Народного Ополчения, 20",моб. 5355757,"08.30-20.30, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",
АльфаАптека Аптека N6 ОДО Меджел,"Борисов, ул. Лопатина, 162",(0177) 750655,"09.00-20.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.; Санитарные часы: первый понедельник месяца с 9.00 до 11.00;",
Зялёная крама Торговый объект N724 ООО Ирина-Фарм,"Барановичи, ул. 50 лет БССР, 86, ТЦ Алми",7822 - А1+mts,"08.00-21.00, пн.–пт.; 08.00-21.00, сб.; 08.00-21.00, вс.",
Ремедика Интерофицина Плюс ООО Аптека N8,"Минск-Фрунзенский, ул. Притыцкого, 10",(017) 3237799,"08.00-22.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.",
Медицинский магазин N18 Польза,"Гродно, ул. Поповича, 12",(029) 1137862,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-18.00, вс.",
Зялёная крама Торговый объект N710 ООО Ирина-Фарм,"Мозырь, ул. Нефтестроителей, 26, ТЦ Катапульта",(017) 2150222,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Добрыя леки Аптека N51 ЗАО Аптека групп Север,"Новополоцк, ул. Нефтяников, 6, ТЦ Зодиак",моб. 5355757,"09.00-21.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.",
Добрыя Леки-Эканом Аптека N34 ЗАО Аптека групп Юг,"Гомель, пр-т Космонавтов, 64-5",моб. 5355757,"08.00-22.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Добрыя Леки Аптека N85 ЗАО Аптека групп Юг,"Мозырь, ул. Мира, 1-7, рядом с пунктом Wildberries",моб. 5355757,"08.00-20.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.",
Лигматон ООО Аптека N8,"Солигорск, ул. Заслонова, 29, ТЦ Корона",(0174) 323030,"09.00-23.00, пн.–пт.; 09.00-23.00, сб.; 09.00-23.00, вс.; Санитарные часы: первая среда каждого месяца с 9.00 до 12.00;",
Медпростор Салон медтехники и ортопедии N27,"Слоним, ул. Красноармейская, 13, пом. 34",(01562) 67552,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-18.00, вс.",
Искамед ООО Аптека N42,"Минск-Советский, ул. Белинского, 15",(017) 3734043,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.; Санитарные часы: первый четверг каждого месяца с 9:00 до 11:00;",
Добрыя Леки Аптека N64 ООО Аптека групп Запад,"Брест, ул. Васнецова, 62-95",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Брестское РУП Фармация Аптека N191,"Береза, ул. Ленина, 1, в здании поликлиники",(01643) 34518,"08.00-20.00, пн.–пт.; 09.00-17.00, сб.; выходной, вс.; Праздничные дни: выходной;",
Добрыя Леки-Эканом Аптека N13 ЗАО Аптека групп Север,"Витебск, ул. Воинов-Интернационалистов, 23-73, маг. Мила",моб. 5355757,"08.30-21.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",
Радикс Аптека N7 ООО Радикс-С,"Минск-Октябрьский, ул. Асаналиева, 40, к. 1",(017) 3746271,"8.00-22.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.",
Гродненское РУП Фармация Аптека N70,"Кореличи, д. Малые Жуховичи, ул. Мятя, 1",(01596) 76829,"09.00-17.00, пн.–пт.; 09.00-14.00, сб.; выходной, вс.; Праздничные дни: выходной",
Тишас ОДО Аптека N22,"Минск-Центральный, пр-т Победителей, 133-784",(017) 3741549,"09.00-21.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.",
Искамед ООО Аптека N86,"Гродно, ул. Ожешко, 8",(0152) 685550,"09.00-21.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.; Санитарные часы: первая среда каждого месяца с 9:00 до 12:00;",
Искамед ООО Аптека N103,"Минск-Московский, пр-т Любимова, 41-7Н",(017) 2702783,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: четвертый вторник каждого месяца с 9:00 до 11:00;",
Брестское РУП Фармация Аптека N268,"Пинск, д. Галево, ул. Первомайская, 176А",(0165) 611357,"09.30-20.00, пн.–пт.; 09.30-20.00, сб.; 09.30-20.00, вс.; Перерыв: 14.00-14.30; 
Праздничные дни: выходной;",
Добрыя Леки Аптека N61 ЗАО Аптека групп Юг,"Речица, ул. Молодежная, 3Д, маг. Соседи",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",
Искамед ООО Магазин Магнолия N1,"Жлобин, 1-й Микрорайон, 1а",(02334) 21210,"09.00-20.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.",
Добрыя Леки Аптека N76 ООО Аптека групп Центр,"Минск-Московский, ул. Громова, 20, маг. Соседи",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Медтехника УП Магазин Оптика N2,"Барановичи, ул. Максима Горького, 58",(0163) 670512,"08.00-16.20, пн.–пт.; выходной, сб.; выходной, вс.; Обед 13.00 - 13.20",
Зялёная крама Торговый объект N745 ООО Ирина-Фарм,"Витебск, ул. Генерала Белобородова, 2А, павильон возле ГИППО",7822 - А1+mts,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",
Соцфарма ООО Аптека N2,"Минск-Первомайский, ул. Петра Мстиславца, 12, пом. 215, между ТЦ Dana Mall и Национальной библиотекой",(017) 3785522,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарный час: каждый второй понедельник месяца с 9:00 до 12:00",
БелЛекоЦентр РУП Государственная аптека N6,"Минск-Ленинский, ул. Ульяновская, 5, 6-я городская пол-ка, 6 этаж",(017) 3259060,"08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарный день: третья среда каждого месяца c 8:00 до 11:00;",
Брестское РУП Фармация Аптека N147,"Барановичи, ул. Мицкевича, 47",(0163) 423796,"08.00-20.00, пн.–пт.; 09.00-17.00, сб.; выходной, вс.; Праздн. дни: выходной;",
